Date,Open,High,Low,Close,Adj Close,Volume
2017-06-02,243.419998,244.350006,243.080002,244.169998,216.881607,88666100
2017-06-05,243.970001,244.300003,243.759995,243.990005,216.721741,44698800
2017-06-06,243.339996,243.979996,243.119995,243.210007,216.028931,50375400
2017-06-07,243.600006,243.919998,242.830002,243.660004,216.42865,54144300
2017-06-08,243.770004,244.330002,243.169998,243.779999,216.535172,65950700
2017-06-09,244.089996,245.009995,241.949997,243.410004,216.206512,132256400
2017-06-12,243.130005,243.419998,242.380005,243.360001,216.16214,86108100
2017-06-13,243.979996,244.610001,243.580002,244.550003,217.219116,60067000
2017-06-14,244.860001,244.869995,243.289993,244.240005,216.943787,78602300
2017-06-15,242.679993,243.910004,242.360001,243.770004,216.526306,66464900
2017-06-16,242.770004,242.830002,241.630005,242.639999,216.573624,84553100
2017-06-19,243.589996,244.729996,243.479996,244.660004,218.376633,65123800
2017-06-20,244.25,244.259995,242.990005,243.009995,216.9039,56906400
2017-06-21,243.460007,243.589996,242.410004,242.949997,216.850327,55977600
2017-06-22,242.960007,243.529999,242.639999,242.839996,216.752106,44148100
2017-06-23,242.910004,243.509995,242.470001,243.130005,217.011017,66986800
2017-06-26,243.899994,244.380005,243.050003,243.289993,217.153778,56700500
2017-06-27,243.039993,243.380005,241.309998,241.330002,215.404343,82247700
2017-06-28,242.5,243.720001,242.229996,243.490005,217.332336,70042600
2017-06-29,243.660004,243.720001,239.960007,241.350006,215.422195,106949700
2017-06-30,242.279999,242.710007,241.580002,241.800003,215.823868,86820700
2017-07-03,242.880005,243.380005,242.210007,242.210007,216.189835,39153800
2017-07-05,242.630005,243.009995,241.699997,242.770004,216.689651,54427600
2017-07-06,241.889999,242.029999,240.339996,240.550003,214.708115,65400800
2017-07-07,241.210007,242.279999,240.559998,242.110001,216.100494,57972300
2017-07-10,242.110001,242.800003,241.759995,242.369995,216.332611,36663300
2017-07-11,242.369995,242.550003,240.850006,242.190002,216.171997,50354600
2017-07-12,243.300003,244.199997,243.300003,244.009995,217.796448,59610400
2017-07-13,244.020004,244.550003,243.759995,244.419998,218.162384,39471600
2017-07-14,244.419998,245.970001,244.309998,245.559998,219.179916,60262700
2017-07-17,245.470001,245.910004,245.330002,245.529999,219.153152,33531900
2017-07-18,245.059998,245.720001,244.669998,245.660004,219.269257,42742500
2017-07-19,246.020004,247.0,246.009995,246.990005,220.456329,51034300
2017-07-20,247.279999,247.419998,246.470001,247.100006,220.554474,47135200
2017-07-21,246.440002,246.910004,246.179993,246.880005,220.358139,82340800
2017-07-24,246.789993,246.979996,246.279999,246.820007,220.304611,46622300
2017-07-25,247.679993,247.800003,247.160004,247.419998,220.840073,54915600
2017-07-26,247.75,247.789993,247.130005,247.429993,220.849014,47575400
2017-07-27,247.960007,248.0,245.679993,247.199997,220.643753,70766600
2017-07-28,246.649994,247.059998,246.130005,246.910004,220.384918,50088400
2017-07-31,247.369995,247.479996,246.529999,246.770004,220.259949,65838700
2017-08-01,247.460007,247.5,246.720001,247.320007,220.750854,55050400
2017-08-02,247.470001,247.600006,246.369995,247.440002,220.857971,47211200
2017-08-03,247.309998,247.339996,246.639999,246.960007,220.42952,40856000
2017-08-04,247.520004,247.789993,246.970001,247.410004,220.831177,60191800
2017-08-07,247.490005,247.869995,247.369995,247.869995,221.24176,31995000
2017-08-08,247.509995,248.910004,246.830002,247.259995,220.697327,61719400
2017-08-09,246.470001,247.309998,246.059998,247.25,220.688416,62632600
2017-08-10,246.289993,246.440002,243.699997,243.759995,217.573303,120479500
2017-08-11,244.020004,244.800003,243.75,244.119995,217.894623,74869900
2017-08-14,245.589996,246.789993,245.550003,246.539993,220.054642,73291900
2017-08-15,246.979996,247.0,246.160004,246.509995,220.027863,55242700
2017-08-16,247.110001,247.570007,246.449997,246.940002,220.411713,56715500
2017-08-17,246.240005,246.600006,243.089996,243.089996,216.975296,128490400
